dataset,k,algorithm,rep,runtime_ms,peak_heap_bytes,candidates_explored,closure_checks,support_calculations,max_queue_size,topk_count
chess,10,V1_BFS_Full,0,390,11375312,6,15,0,24,10
chess,10,V1_BFS_Full,1,399,10129792,6,15,0,24,10
chess,10,V1_BFS_Full,2,419,10158112,6,15,0,24,10
chess,10,V2_DFS_Full,0,445,11091600,26,18,0,23,10
chess,10,V2_DFS_Full,1,437,10897808,26,18,0,23,10
chess,10,V2_DFS_Full,2,444,10883816,26,18,0,23,10
chess,10,V3_BFS_Search,0,453,11048904,6,15,16,0,10
chess,10,V3_BFS_Search,1,439,10904352,6,15,16,0,10
chess,10,V3_BFS_Search,2,437,10789336,6,15,16,0,10
chess,10,V4_DFS_Search,0,460,11096248,26,18,18,23,10
chess,10,V4_DFS_Search,1,452,11085128,26,18,18,23,10
chess,10,V4_DFS_Search,2,457,11092648,26,18,18,23,10
chess,10,TopKPFIM,0,8815,25127304,408,30,14236,30,10
chess,10,TopKPFIM,1,9690,24541368,408,30,14236,30,10
chess,10,TopKPFIM,2,9752,24542200,408,30,14236,30,10
chess,10,ITUFP,0,1647,6041960,2,30,355,1,10
chess,10,ITUFP,1,1667,6024384,2,30,355,1,10
chess,10,ITUFP,2,1657,5986864,2,30,355,1,10
chess,20,V1_BFS_Full,0,1410,32602784,15,34,0,157,20
chess,20,V1_BFS_Full,1,1428,32567224,15,34,0,157,20
chess,20,V1_BFS_Full,2,1426,32552904,15,34,0,157,20
chess,20,V2_DFS_Full,0,1773,26946192,155,47,0,139,20
chess,20,V2_DFS_Full,1,1781,26576224,155,47,0,139,20
chess,20,V2_DFS_Full,2,1790,24813824,155,47,0,139,20
chess,20,V3_BFS_Search,0,1566,23599568,15,34,57,0,20
chess,20,V3_BFS_Search,1,1569,25138608,15,34,57,0,20
chess,20,V3_BFS_Search,2,1566,25144280,15,34,57,0,20
chess,20,V4_DFS_Search,0,1857,25455208,155,47,98,139,20
chess,20,V4_DFS_Search,1,1848,25841584,155,47,98,139,20
chess,20,V4_DFS_Search,2,1859,24957944,155,47,98,139,20
chess,20,TopKPFIM,0,15207,33603264,1157,60,36264,60,20
chess,20,TopKPFIM,1,15174,34837608,1157,60,36264,60,20
chess,20,TopKPFIM,2,15239,34677344,1157,60,36264,60,20
chess,20,ITUFP,0,3550,23663176,6,60,779,3,20
chess,20,ITUFP,1,3476,23541824,6,60,779,3,20
chess,20,ITUFP,2,3424,52605120,6,60,779,3,20
chess,30,V1_BFS_Full,0,2740,43896664,24,53,0,376,30
chess,30,V1_BFS_Full,1,2746,52057320,24,53,0,376,30
chess,30,V1_BFS_Full,2,2766,41440136,24,53,0,376,30
chess,30,V2_DFS_Full,0,4210,59021880,368,84,0,328,30
chess,30,V2_DFS_Full,1,4155,63483784,368,84,0,328,30
chess,30,V2_DFS_Full,2,4157,64348192,368,84,0,328,30
chess,30,V3_BFS_Search,0,2981,45438240,24,53,135,0,30
chess,30,V3_BFS_Search,1,2957,44285040,24,53,135,0,30
chess,30,V3_BFS_Search,2,2980,45502936,24,53,135,0,30
chess,30,V4_DFS_Search,0,4228,63516464,368,84,342,328,30
chess,30,V4_DFS_Search,1,4245,61041264,368,84,342,328,30
chess,30,V4_DFS_Search,2,4283,61509848,368,84,342,328,30
chess,30,TopKPFIM,0,18731,10765632,2525,90,71836,90,30
chess,30,TopKPFIM,1,18740,80587688,2525,90,71836,90,30
chess,30,TopKPFIM,2,18850,14615864,2525,90,71836,90,30
chess,30,ITUFP,0,5198,9482400,8,90,1308,3,30
chess,30,ITUFP,1,5286,9644528,8,90,1308,3,30
chess,30,ITUFP,2,5333,13701648,8,90,1308,3,30
chess,40,V1_BFS_Full,0,4122,64772920,33,72,0,742,40
chess,40,V1_BFS_Full,1,4104,68727456,33,72,0,742,40
chess,40,V1_BFS_Full,2,4103,68255232,33,72,0,742,40
chess,40,V2_DFS_Full,0,7345,111085648,707,131,0,638,40
chess,40,V2_DFS_Full,1,7614,107988272,707,131,0,638,40
chess,40,V2_DFS_Full,2,7517,109012384,707,131,0,638,40
chess,40,V3_BFS_Search,0,4531,68458408,33,72,284,0,40
chess,40,V3_BFS_Search,1,4510,75853096,33,72,284,0,40
chess,40,V3_BFS_Search,2,4594,70245248,33,72,284,0,40
chess,40,V4_DFS_Search,0,7304,115595784,707,131,776,638,40
chess,40,V4_DFS_Search,1,7347,107090168,707,131,776,638,40
chess,40,V4_DFS_Search,2,7294,109626016,707,131,776,638,40
chess,40,TopKPFIM,0,22432,34633096,3667,120,101256,120,40
chess,40,TopKPFIM,1,22328,76098504,3667,120,101256,120,40
chess,40,TopKPFIM,2,22365,41135440,3667,120,101256,120,40
chess,40,ITUFP,0,7343,20296072,12,120,1815,4,40
chess,40,ITUFP,1,7358,20195224,12,120,1815,4,40
chess,40,ITUFP,2,7324,20327776,12,120,1815,4,40
chess,50,V1_BFS_Full,0,5166,87692840,42,91,0,1126,50
chess,50,V1_BFS_Full,1,5270,84268216,42,91,0,1126,50
chess,50,V1_BFS_Full,2,5210,84790008,42,91,0,1126,50
chess,50,V2_DFS_Full,0,10924,161358624,1032,193,0,912,50
chess,50,V2_DFS_Full,1,10935,159349768,1032,193,0,912,50
chess,50,V2_DFS_Full,2,10874,163296832,1032,193,0,912,50
chess,50,V3_BFS_Search,0,5462,101365048,42,91,566,0,50
chess,50,V3_BFS_Search,1,5534,111280808,42,91,566,0,50
chess,50,V3_BFS_Search,2,5577,101940840,42,91,566,0,50
chess,50,V4_DFS_Search,0,10385,168693016,1032,193,1599,912,50
chess,50,V4_DFS_Search,1,10758,170950288,1032,193,1599,912,50
chess,50,V4_DFS_Search,2,10742,177362456,1032,193,1599,912,50
chess,50,TopKPFIM,0,26948,32065072,4966,150,134490,150,50
chess,50,TopKPFIM,1,26867,78174048,4966,150,134490,150,50
chess,50,TopKPFIM,2,26940,39240984,4966,150,134490,150,50
chess,50,ITUFP,0,9978,28526184,17,150,2082,4,50
chess,50,ITUFP,1,9961,24135736,17,150,2082,4,50
chess,50,ITUFP,2,10344,24445168,17,150,2082,4,50
