dataset,k,algorithm,runtime_mean_ms,runtime_std_ms,runtime_median_ms,closure_checks_mean,max_queue_size_mean,peak_heap_mb_mean
chess,10,V1_BFS_Full,410.67,10.69,413.00,15.0,24.0,10.07
chess,10,V2_DFS_Full,442.00,4.36,444.00,18.0,23.0,10.45
chess,10,V3_BFS_Search,443.00,8.72,439.00,15.0,0.0,10.41
chess,10,V4_DFS_Search,456.33,4.04,457.00,18.0,23.0,10.58
chess,10,TopKPFIM,9419.00,524.00,9690.00,30.0,30.0,23.59
chess,10,ITUFP,1657.00,10.00,1657.00,30.0,1.0,5.74
chess,20,V1_BFS_Full,1433.00,10.44,1428.00,34.0,157.0,31.07
chess,20,V2_DFS_Full,1781.33,8.50,1781.00,47.0,139.0,24.90
chess,20,V3_BFS_Search,1567.00,1.73,1566.00,34.0,0.0,23.49
chess,20,V4_DFS_Search,1854.67,5.86,1857.00,47.0,139.0,24.24
chess,20,TopKPFIM,15206.67,32.50,15207.00,60.0,60.0,32.78
chess,20,ITUFP,3483.33,63.32,3476.00,60.0,3.0,31.73
chess,30,V1_BFS_Full,2770.00,20.78,2782.00,53.0,376.0,43.68
chess,30,V2_DFS_Full,4174.00,31.19,4157.00,84.0,328.0,59.40
chess,30,V3_BFS_Search,2972.67,13.58,2980.00,53.0,0.0,42.99
chess,30,V4_DFS_Search,4252.00,28.16,4245.00,84.0,328.0,59.15
chess,30,TopKPFIM,18773.67,66.26,18740.00,90.0,90.0,33.69
chess,30,ITUFP,5272.33,68.53,5286.00,90.0,3.0,10.44
chess,40,V1_BFS_Full,4109.67,10.69,4104.00,72.0,742.0,64.14
chess,40,V2_DFS_Full,7492.00,136.23,7517.00,131.0,638.0,104.30
chess,40,V3_BFS_Search,4545.00,43.71,4531.00,72.0,0.0,68.21
chess,40,V4_DFS_Search,7315.00,28.16,7304.00,131.0,638.0,105.64
chess,40,TopKPFIM,22375.00,52.72,22365.00,120.0,120.0,48.28
chess,40,ITUFP,7341.67,17.04,7343.00,120.0,4.0,19.33
chess,50,V1_BFS_Full,5282.00,24.33,5270.00,91.0,1126.0,81.62
chess,50,V2_DFS_Full,10911.00,32.51,10924.00,193.0,912.0,153.86
chess,50,V3_BFS_Search,5524.33,58.11,5534.00,91.0,0.0,100.00
chess,50,V4_DFS_Search,10628.33,210.88,10742.00,193.0,912.0,164.35
chess,50,TopKPFIM,26918.33,44.64,26940.00,150.0,150.0,47.52
chess,50,ITUFP,10094.33,216.38,9978.00,150.0,4.0,24.51
