dataset,k,algorithm,rep,runtime_ms,peak_heap_bytes,candidates_explored,closure_checks,support_calculations,max_queue_size,topk_count
liquor_11frequent,600,V1_BFS_Full,0,9685,255713400,282,923,0,749,600
liquor_11frequent,600,V1_BFS_Full,1,9676,188157448,282,923,0,749,600
liquor_11frequent,600,V1_BFS_Full,2,9702,240297848,282,923,0,749,600
liquor_11frequent,600,V2_DFS_Full,0,10127,284563808,768,966,0,731,600
liquor_11frequent,600,V2_DFS_Full,1,10052,257943712,768,966,0,731,600
liquor_11frequent,600,V2_DFS_Full,2,10947,268721672,768,966,0,731,600
liquor_11frequent,600,V3_BFS_Search,0,10493,288946232,282,923,27797,0,600
liquor_11frequent,600,V3_BFS_Search,1,10465,264231264,282,923,27797,0,600
liquor_11frequent,600,V3_BFS_Search,2,10649,232229568,282,923,27797,0,600
liquor_11frequent,600,V4_DFS_Search,0,10447,206298968,768,966,31277,731,600
liquor_11frequent,600,V4_DFS_Search,1,10487,261136288,768,966,31277,731,600
liquor_11frequent,600,V4_DFS_Search,2,10755,238331544,768,966,31277,731,600
liquor_11frequent,600,TopKPFIM,0,40259,104424376,3856,1800,878365,1800,600
liquor_11frequent,600,TopKPFIM,1,40164,58218520,3856,1800,878365,1800,600
liquor_11frequent,600,TopKPFIM,2,40470,45332336,3856,1800,878365,1800,600
liquor_11frequent,600,ITUFP,0,13725,87951928,13,1800,96896,2,600
liquor_11frequent,600,ITUFP,1,13871,111353088,13,1800,96896,2,600
liquor_11frequent,600,ITUFP,2,14017,56840312,13,1800,96896,2,600
liquor_11frequent,700,V1_BFS_Full,0,10760,306891128,334,1079,0,958,700
liquor_11frequent,700,V1_BFS_Full,1,10825,382570256,334,1079,0,958,700
liquor_11frequent,700,V1_BFS_Full,2,10761,236460072,334,1079,0,958,700
liquor_11frequent,700,V2_DFS_Full,0,11681,307546808,983,1151,0,921,700
liquor_11frequent,700,V2_DFS_Full,1,11516,316775664,983,1151,0,921,700
liquor_11frequent,700,V2_DFS_Full,2,11427,298946920,983,1151,0,921,700
liquor_11frequent,700,V3_BFS_Search,0,12132,338397296,334,1079,36838,0,700
liquor_11frequent,700,V3_BFS_Search,1,11945,359713584,334,1079,36838,0,700
liquor_11frequent,700,V3_BFS_Search,2,12324,265501840,334,1079,36838,0,700
liquor_11frequent,700,V4_DFS_Search,0,12230,302856080,983,1151,42816,921,700
liquor_11frequent,700,V4_DFS_Search,1,12178,282670408,983,1151,42816,921,700
liquor_11frequent,700,V4_DFS_Search,2,12181,293877376,983,1151,42816,921,700
liquor_11frequent,700,TopKPFIM,0,43847,89458064,4280,2100,957292,2100,700
liquor_11frequent,700,TopKPFIM,1,43545,80636928,4280,2100,957292,2100,700
liquor_11frequent,700,TopKPFIM,2,43780,92467960,4280,2100,957292,2100,700
liquor_11frequent,700,ITUFP,0,14765,64477272,14,2100,113777,2,700
liquor_11frequent,700,ITUFP,1,14753,64324544,14,2100,113777,2,700
liquor_11frequent,700,ITUFP,2,14687,64657776,14,2100,113777,2,700
liquor_11frequent,800,V1_BFS_Full,0,12551,368342952,429,1305,0,1280,800
liquor_11frequent,800,V1_BFS_Full,1,12663,403534504,429,1305,0,1280,800
liquor_11frequent,800,V1_BFS_Full,2,12795,422390808,429,1305,0,1280,800
liquor_11frequent,800,V2_DFS_Full,0,13773,387266504,1294,1395,0,1216,800
liquor_11frequent,800,V2_DFS_Full,1,13837,375677584,1294,1395,0,1216,800
liquor_11frequent,800,V2_DFS_Full,2,13907,338042912,1294,1395,0,1216,800
liquor_11frequent,800,V3_BFS_Search,0,14501,371572584,429,1305,49623,0,800
liquor_11frequent,800,V3_BFS_Search,1,14319,324798192,429,1305,49623,0,800
liquor_11frequent,800,V3_BFS_Search,2,14353,392715544,429,1305,49623,0,800
liquor_11frequent,800,V4_DFS_Search,0,14345,427191720,1294,1395,56970,1216,800
liquor_11frequent,800,V4_DFS_Search,1,14411,429508760,1294,1395,56970,1216,800
liquor_11frequent,800,V4_DFS_Search,2,14404,380603528,1294,1395,56970,1216,800
liquor_11frequent,800,TopKPFIM,0,46928,47981216,4625,2400,1047626,2400,800
liquor_11frequent,800,TopKPFIM,1,46806,136378576,4625,2400,1047626,2400,800
liquor_11frequent,800,TopKPFIM,2,46849,39886320,4625,2400,1047626,2400,800
liquor_11frequent,800,ITUFP,0,15526,52935256,18,2400,127025,2,800
liquor_11frequent,800,ITUFP,1,15819,57193880,18,2400,127025,2,800
liquor_11frequent,800,ITUFP,2,15484,15331888,18,2400,127025,2,800
liquor_11frequent,900,V1_BFS_Full,0,15942,582811096,482,1564,0,1911,900
liquor_11frequent,900,V1_BFS_Full,1,16041,452856344,482,1564,0,1911,900
liquor_11frequent,900,V1_BFS_Full,2,16035,492712808,482,1564,0,1911,900
liquor_11frequent,900,V2_DFS_Full,0,17082,534092848,1899,1680,0,1792,900
liquor_11frequent,900,V2_DFS_Full,1,17303,543935728,1899,1680,0,1792,900
liquor_11frequent,900,V2_DFS_Full,2,17056,552109992,1899,1680,0,1792,900
liquor_11frequent,900,V3_BFS_Search,0,17798,587582608,482,1564,62349,0,900
liquor_11frequent,900,V3_BFS_Search,1,17653,610417672,482,1564,62349,0,900
liquor_11frequent,900,V3_BFS_Search,2,17789,557141008,482,1564,62349,0,900
liquor_11frequent,900,V4_DFS_Search,0,17506,616538824,1899,1680,71764,1792,900
liquor_11frequent,900,V4_DFS_Search,1,17545,577828056,1899,1680,71764,1792,900
liquor_11frequent,900,V4_DFS_Search,2,17422,545233544,1899,1680,71764,1792,900
liquor_11frequent,900,TopKPFIM,0,48970,91554144,4801,2700,1101594,2700,900
liquor_11frequent,900,TopKPFIM,1,49233,90424256,4801,2700,1101594,2700,900
liquor_11frequent,900,TopKPFIM,2,48821,103810248,4801,2700,1101594,2700,900
liquor_11frequent,900,ITUFP,0,16576,79532592,21,2700,139553,2,900
liquor_11frequent,900,ITUFP,1,16611,66559048,21,2700,139553,2,900
liquor_11frequent,900,ITUFP,2,16607,33301944,21,2700,139553,2,900
liquor_11frequent,1000,V1_BFS_Full,0,16520,461338520,553,1635,0,1927,1000
liquor_11frequent,1000,V1_BFS_Full,1,16601,642060808,553,1635,0,1927,1000
liquor_11frequent,1000,V1_BFS_Full,2,16592,565964616,553,1635,0,1927,1000
liquor_11frequent,1000,V2_DFS_Full,0,18697,536245912,1949,1808,0,1792,1000
liquor_11frequent,1000,V2_DFS_Full,1,18789,505124400,1949,1808,0,1792,1000
liquor_11frequent,1000,V2_DFS_Full,2,18553,607980720,1949,1808,0,1792,1000
liquor_11frequent,1000,V3_BFS_Search,0,18832,586637792,553,1635,78909,0,1000
liquor_11frequent,1000,V3_BFS_Search,1,18652,460574864,553,1635,78909,0,1000
