dataset,k,algorithm,runtime_mean_ms,runtime_std_ms,runtime_median_ms,closure_checks_mean,max_queue_size_mean,peak_heap_mb_mean
liquor_11frequent,600,V1_BFS_Full,9687.67,13.20,9685.00,923.0,749.0,217.49
liquor_11frequent,600,V2_DFS_Full,10008.67,102.51,9952.00,966.0,731.0,257.88
liquor_11frequent,600,V3_BFS_Search,10535.67,99.14,10493.00,923.0,0.0,249.67
liquor_11frequent,600,V4_DFS_Search,10563.00,167.48,10487.00,966.0,731.0,224.36
liquor_11frequent,600,TopKPFIM,40297.67,156.62,40259.00,1800.0,1800.0,66.11
liquor_11frequent,600,ITUFP,13871.00,146.00,13871.00,1800.0,2.0,81.43
liquor_11frequent,700,V1_BFS_Full,10882.00,107.18,10925.00,1079.0,958.0,294.34
liquor_11frequent,700,V2_DFS_Full,11541.33,128.88,11516.00,1151.0,921.0,293.50
liquor_11frequent,700,V3_BFS_Search,12133.67,189.51,12132.00,1079.0,0.0,306.32
liquor_11frequent,700,V4_DFS_Search,12196.33,29.19,12181.00,1151.0,921.0,279.55
liquor_11frequent,700,TopKPFIM,43724.00,158.60,43780.00,2100.0,2100.0,83.47
liquor_11frequent,700,ITUFP,14735.00,42.00,14753.00,2100.0,2.0,61.50
liquor_11frequent,800,V1_BFS_Full,13036.33,75.61,13063.00,1305.0,1280.0,379.65
liquor_11frequent,800,V2_DFS_Full,13839.00,67.02,13837.00,1395.0,1216.0,349.99
liquor_11frequent,800,V3_BFS_Search,14391.00,96.77,14353.00,1305.0,0.0,346.21
liquor_11frequent,800,V4_DFS_Search,14386.67,36.25,14404.00,1395.0,1216.0,393.33
liquor_11frequent,800,TopKPFIM,46861.00,61.88,46849.00,2400.0,2400.0,71.29
liquor_11frequent,800,ITUFP,15609.67,182.50,15526.00,2400.0,2.0,39.88
liquor_11frequent,900,V1_BFS_Full,16106.00,55.51,16135.00,1564.0,1911.0,485.86
liquor_11frequent,900,V2_DFS_Full,17147.00,135.72,17082.00,1680.0,1792.0,518.21
liquor_11frequent,900,V3_BFS_Search,17746.67,81.24,17789.00,1564.0,0.0,557.94
liquor_11frequent,900,V4_DFS_Search,17491.00,62.86,17506.00,1680.0,1792.0,553.00
liquor_11frequent,900,TopKPFIM,49008.00,208.61,48970.00,2700.0,2700.0,90.85
liquor_11frequent,900,ITUFP,16598.00,19.16,16607.00,2700.0,2.0,57.03
liquor_11frequent,1000,V1_BFS_Full,16737.67,167.05,16701.00,1635.0,1927.0,530.68
liquor_11frequent,1000,V2_DFS_Full,18679.67,118.95,18697.00,1808.0,1792.0,524.31
liquor_11frequent,1000,V3_BFS_Search,18761.67,96.23,18801.00,1635.0,0.0,530.36
liquor_11frequent,1000,V4_DFS_Search,19114.33,219.11,19011.00,1808.0,1792.0,521.00
liquor_11frequent,1000,TopKPFIM,52199.00,297.14,52035.00,3000.0,3000.0,92.37
liquor_11frequent,1000,ITUFP,17481.33,98.45,17426.00,3000.0,2.0,84.24
