dataset,k,comparison,p_value,v1_faster
liquor_11frequent,600,V1_vs_V2_DFS_Full,NaN,true
liquor_11frequent,600,V1_vs_V3_BFS_Search,NaN,true
liquor_11frequent,600,V1_vs_V4_DFS_Search,NaN,true
liquor_11frequent,600,V1_vs_TopKPFIM,NaN,true
liquor_11frequent,600,V1_vs_ITUFP,NaN,true
liquor_11frequent,700,V1_vs_V2_DFS_Full,NaN,true
liquor_11frequent,700,V1_vs_V3_BFS_Search,NaN,true
liquor_11frequent,700,V1_vs_V4_DFS_Search,NaN,true
liquor_11frequent,700,V1_vs_TopKPFIM,NaN,true
liquor_11frequent,700,V1_vs_ITUFP,NaN,true
liquor_11frequent,800,V1_vs_V2_DFS_Full,NaN,true
liquor_11frequent,800,V1_vs_V3_BFS_Search,NaN,true
liquor_11frequent,800,V1_vs_V4_DFS_Search,NaN,true
liquor_11frequent,800,V1_vs_TopKPFIM,NaN,true
liquor_11frequent,800,V1_vs_ITUFP,NaN,true
liquor_11frequent,900,V1_vs_V2_DFS_Full,NaN,true
liquor_11frequent,900,V1_vs_V3_BFS_Search,NaN,true
liquor_11frequent,900,V1_vs_V4_DFS_Search,NaN,true
liquor_11frequent,900,V1_vs_TopKPFIM,NaN,true
liquor_11frequent,900,V1_vs_ITUFP,NaN,true
liquor_11frequent,1000,V1_vs_V2_DFS_Full,NaN,true
liquor_11frequent,1000,V1_vs_V3_BFS_Search,NaN,true
liquor_11frequent,1000,V1_vs_V4_DFS_Search,NaN,true
liquor_11frequent,1000,V1_vs_TopKPFIM,NaN,true
liquor_11frequent,1000,V1_vs_ITUFP,NaN,true
