dataset,k,algorithm,runtime_mean_ms,runtime_std_ms,runtime_median_ms,closure_checks_mean,max_queue_size_mean,peak_heap_mb_mean
mushrooms,30,V1_BFS_Full,16451.00,77.21,16411.00,55.0,241.0,45.75
mushrooms,30,V2_DFS_Full,14692.00,45.08,14716.00,81.0,186.0,47.17
mushrooms,30,V3_BFS_Search,19279.33,44.64,19288.00,55.0,0.0,58.61
mushrooms,30,V4_DFS_Search,16295.33,636.80,16118.00,81.0,186.0,56.27
mushrooms,30,TopKPFIM,66427.67,134.14,66370.00,90.0,90.0,42.74
mushrooms,30,ITUFP,26462.67,62.85,26443.00,90.0,4.0,14.95
mushrooms,40,V1_BFS_Full,19580.67,61.53,19583.00,73.0,447.0,66.25
mushrooms,40,V2_DFS_Full,17301.33,95.20,17271.00,117.0,307.0,75.92
mushrooms,40,V3_BFS_Search,21438.33,52.92,21427.00,73.0,0.0,88.10
mushrooms,40,V4_DFS_Search,18846.00,71.42,18827.00,117.0,307.0,82.80
mushrooms,40,TopKPFIM,79627.00,190.17,79656.00,120.0,120.0,61.68
mushrooms,40,ITUFP,37904.00,40.11,37891.00,120.0,4.0,38.60
mushrooms,50,V1_BFS_Full,22729.67,78.56,22726.00,92.0,812.0,88.08
mushrooms,50,V2_DFS_Full,21915.33,180.93,21820.00,164.0,548.0,113.01
mushrooms,50,V3_BFS_Search,24555.33,158.66,24572.00,92.0,0.0,116.07
mushrooms,50,V4_DFS_Search,23186.00,110.27,23171.00,164.0,548.0,113.35
mushrooms,50,TopKPFIM,93297.67,521.08,93259.00,150.0,150.0,45.24
mushrooms,50,ITUFP,47913.33,94.41,47957.00,150.0,4.0,30.39
mushrooms,60,V1_BFS_Full,25274.67,54.85,25293.00,111.0,1316.0,110.66
mushrooms,60,V2_DFS_Full,26141.33,52.27,26131.00,222.0,883.0,141.90
mushrooms,60,V3_BFS_Search,26910.67,47.71,26923.00,111.0,0.0,137.05
mushrooms,60,V4_DFS_Search,28360.00,106.66,28324.00,222.0,883.0,151.59
mushrooms,60,TopKPFIM,105946.33,243.75,105834.00,180.0,180.0,55.86
mushrooms,60,ITUFP,57541.33,120.03,57513.00,180.0,4.0,42.14
mushrooms,70,V1_BFS_Full,27726.33,49.80,27720.00,132.0,1869.0,130.10
mushrooms,70,V2_DFS_Full,30422.00,23.26,30426.00,297.0,1186.0,177.97
mushrooms,70,V3_BFS_Search,29392.67,265.58,29333.00,132.0,0.0,164.39
mushrooms,70,V4_DFS_Search,33313.67,104.89,33365.00,297.0,1186.0,202.68
mushrooms,70,TopKPFIM,116689.33,98.46,116717.00,210.0,210.0,54.44
mushrooms,70,ITUFP,65654.33,90.74,65641.00,210.0,4.0,41.37
