dataset,k,comparison,p_value,v1_faster
mushrooms,30,V1_vs_V2_DFS_Full,NaN,false
mushrooms,30,V1_vs_V3_BFS_Search,NaN,true
mushrooms,30,V1_vs_V4_DFS_Search,NaN,false
mushrooms,30,V1_vs_TopKPFIM,NaN,true
mushrooms,30,V1_vs_ITUFP,NaN,true
mushrooms,40,V1_vs_V2_DFS_Full,NaN,false
mushrooms,40,V1_vs_V3_BFS_Search,NaN,true
mushrooms,40,V1_vs_V4_DFS_Search,NaN,false
mushrooms,40,V1_vs_TopKPFIM,NaN,true
mushrooms,40,V1_vs_ITUFP,NaN,true
mushrooms,50,V1_vs_V2_DFS_Full,NaN,false
mushrooms,50,V1_vs_V3_BFS_Search,NaN,true
mushrooms,50,V1_vs_V4_DFS_Search,NaN,true
mushrooms,50,V1_vs_TopKPFIM,NaN,true
mushrooms,50,V1_vs_ITUFP,NaN,true
mushrooms,60,V1_vs_V2_DFS_Full,NaN,true
mushrooms,60,V1_vs_V3_BFS_Search,NaN,true
mushrooms,60,V1_vs_V4_DFS_Search,NaN,true
mushrooms,60,V1_vs_TopKPFIM,NaN,true
mushrooms,60,V1_vs_ITUFP,NaN,true
mushrooms,70,V1_vs_V2_DFS_Full,NaN,true
mushrooms,70,V1_vs_V3_BFS_Search,NaN,true
mushrooms,70,V1_vs_V4_DFS_Search,NaN,true
mushrooms,70,V1_vs_TopKPFIM,NaN,true
mushrooms,70,V1_vs_ITUFP,NaN,true
