dataset,k,algorithm,rep,runtime_ms,peak_heap_bytes,candidates_explored,closure_checks,support_calculations,max_queue_size,topk_count
retail,500,V1_BFS_Full,0,27069,371532736,263,764,0,566,500
retail,500,V1_BFS_Full,1,26919,440124792,263,764,0,566,500
retail,500,V1_BFS_Full,2,26963,451748296,263,764,0,566,500
retail,500,V2_DFS_Full,0,27350,449834048,579,813,0,539,500
retail,500,V2_DFS_Full,1,27393,474728536,579,813,0,539,500
retail,500,V2_DFS_Full,2,27213,289014880,579,813,0,539,500
retail,500,V3_BFS_Search,0,27988,377291496,263,764,2099,0,500
retail,500,V3_BFS_Search,1,28004,614849864,263,764,2099,0,500
retail,500,V3_BFS_Search,2,27891,327058760,263,764,2099,0,500
retail,500,V4_DFS_Search,0,28079,404749944,579,813,1838,539,500
retail,500,V4_DFS_Search,1,28056,604575952,579,813,1838,539,500
retail,500,V4_DFS_Search,2,28317,571954848,579,813,1838,539,500
retail,500,TopKPFIM,0,161938,108996888,14342,1500,7863663,1500,500
retail,500,TopKPFIM,1,161783,113058544,14342,1500,7863663,1500,500
retail,500,TopKPFIM,2,161993,115170192,14342,1500,7863663,1500,500
retail,500,ITUFP,0,43687,183830144,10,1500,21751,3,500
retail,500,ITUFP,1,43507,156304952,10,1500,21751,3,500
retail,500,ITUFP,2,43054,151231104,10,1500,21751,3,500
retail,600,V1_BFS_Full,0,27676,393601824,317,919,0,664,600
retail,600,V1_BFS_Full,1,27785,432010720,317,919,0,664,600
retail,600,V1_BFS_Full,2,27825,489932776,317,919,0,664,600
retail,600,V2_DFS_Full,0,28276,493378976,683,984,0,631,600
retail,600,V2_DFS_Full,1,28203,425849984,683,984,0,631,600
retail,600,V2_DFS_Full,2,28347,386462112,683,984,0,631,600
retail,600,V3_BFS_Search,0,28772,389334688,317,919,2527,0,600
retail,600,V3_BFS_Search,1,28553,433323392,317,919,2527,0,600
retail,600,V3_BFS_Search,2,28422,535217920,317,919,2527,0,600
retail,600,V4_DFS_Search,0,29299,587771808,683,984,2246,631,600
retail,600,V4_DFS_Search,1,29357,469111472,683,984,2246,631,600
retail,600,V4_DFS_Search,2,29146,505059456,683,984,2246,631,600
retail,600,TopKPFIM,0,171439,125676104,14886,1800,8364665,1800,600
retail,600,TopKPFIM,1,171619,55868624,14886,1800,8364665,1800,600
retail,600,TopKPFIM,2,171452,74966192,14886,1800,8364665,1800,600
retail,600,ITUFP,0,46214,97538272,10,1800,22862,3,600
retail,600,ITUFP,1,46164,95208784,10,1800,22862,3,600
retail,600,ITUFP,2,46481,94432544,10,1800,22862,3,600
retail,700,V1_BFS_Full,0,28543,461649504,378,1084,0,774,700
retail,700,V1_BFS_Full,1,28340,527391464,378,1084,0,774,700
retail,700,V1_BFS_Full,2,28107,598865976,378,1084,0,774,700
retail,700,V2_DFS_Full,0,29364,547132856,799,1160,0,736,700
retail,700,V2_DFS_Full,1,29433,686640760,799,1160,0,736,700
retail,700,V2_DFS_Full,2,29414,671034816,799,1160,0,736,700
retail,700,V3_BFS_Search,0,30057,682251944,378,1084,3057,0,700
retail,700,V3_BFS_Search,1,30026,643049600,378,1084,3057,0,700
retail,700,V3_BFS_Search,2,30573,509277336,378,1084,3057,0,700
retail,700,V4_DFS_Search,0,31097,593301800,799,1160,2638,736,700
retail,700,V4_DFS_Search,1,31418,752438920,799,1160,2638,736,700
retail,700,V4_DFS_Search,2,31582,951643504,799,1160,2638,736,700
retail,700,TopKPFIM,0,179959,208825072,15456,2100,8830996,2100,700
retail,700,TopKPFIM,1,180549,112194536,15456,2100,8830996,2100,700
retail,700,TopKPFIM,2,180626,145652880,15456,2100,8830996,2100,700
retail,700,ITUFP,0,49015,57715744,11,2100,24035,3,700
retail,700,ITUFP,1,49534,224697912,11,2100,24035,3,700
retail,700,ITUFP,2,49689,222637216,11,2100,24035,3,700
retail,800,V1_BFS_Full,0,30044,938827888,429,1239,0,920,800
retail,800,V1_BFS_Full,1,30046,577484672,429,1239,0,920,800
retail,800,V1_BFS_Full,2,29834,578481728,429,1239,0,920,800
retail,800,V2_DFS_Full,0,30766,631603544,939,1329,0,868,800
retail,800,V2_DFS_Full,1,30707,841239280,939,1329,0,868,800
retail,800,V2_DFS_Full,2,30784,1044300632,939,1329,0,868,800
retail,800,V3_BFS_Search,0,31075,632081912,429,1239,3655,0,800
retail,800,V3_BFS_Search,1,31402,775086160,429,1239,3655,0,800
retail,800,V3_BFS_Search,2,31305,588600968,429,1239,3655,0,800
retail,800,V4_DFS_Search,0,33011,947158488,939,1329,3077,868,800
retail,800,V4_DFS_Search,1,33304,802072320,939,1329,3077,868,800
retail,800,V4_DFS_Search,2,32999,663007080,939,1329,3077,868,800
retail,800,TopKPFIM,0,191057,151443736,15989,2400,9255787,2400,800
retail,800,TopKPFIM,1,190518,73663000,15989,2400,9255787,2400,800
retail,800,TopKPFIM,2,191384,167363200,15989,2400,9255787,2400,800
retail,800,ITUFP,0,53781,106106672,11,2400,25213,3,800
retail,800,ITUFP,1,53291,58982096,11,2400,25213,3,800
retail,800,ITUFP,2,52862,33496616,11,2400,25213,3,800
retail,900,V1_BFS_Full,0,30626,832782560,486,1388,0,1059,900
retail,900,V1_BFS_Full,1,30990,915769208,486,1388,0,1059,900
retail,900,V1_BFS_Full,2,31036,852415464,486,1388,0,1059,900
retail,900,V2_DFS_Full,0,32151,829222520,1075,1486,0,996,900
retail,900,V2_DFS_Full,1,32349,1024416616,1075,1486,0,996,900
retail,900,V2_DFS_Full,2,32476,1091393848,1075,1486,0,996,900
retail,900,V3_BFS_Search,0,33015,804958080,486,1388,4263,0,900
retail,900,V3_BFS_Search,1,33274,1025022472,486,1388,4263,0,900
retail,900,V3_BFS_Search,2,32990,877663016,486,1388,4263,0,900
retail,900,V4_DFS_Search,0,34683,866075288,1075,1486,3563,996,900
retail,900,V4_DFS_Search,1,34584,826822056,1075,1486,3563,996,900
retail,900,V4_DFS_Search,2,34730,894790184,1075,1486,3563,996,900
retail,900,TopKPFIM,0,199764,204985768,16540,2700,9643052,2700,900
retail,900,TopKPFIM,1,198873,210800376,16540,2700,9643052,2700,900
retail,900,TopKPFIM,2,199206,210812376,16540,2700,9643052,2700,900
retail,900,ITUFP,0,56283,192516544,14,2700,26456,3,900
retail,900,ITUFP,1,56763,207167864,14,2700,26456,3,900
retail,900,ITUFP,2,57296,201901136,14,2700,26456,3,900
