dataset,k,comparison,p_value,v1_faster
retail,500,V1_vs_V2_DFS_Full,NaN,true
retail,500,V1_vs_V3_BFS_Search,NaN,true
retail,500,V1_vs_V4_DFS_Search,NaN,true
retail,500,V1_vs_TopKPFIM,NaN,true
retail,500,V1_vs_ITUFP,NaN,true
retail,600,V1_vs_V2_DFS_Full,NaN,true
retail,600,V1_vs_V3_BFS_Search,NaN,true
retail,600,V1_vs_V4_DFS_Search,NaN,true
retail,600,V1_vs_TopKPFIM,NaN,true
retail,600,V1_vs_ITUFP,NaN,true
retail,700,V1_vs_V2_DFS_Full,NaN,true
retail,700,V1_vs_V3_BFS_Search,NaN,true
retail,700,V1_vs_V4_DFS_Search,NaN,true
retail,700,V1_vs_TopKPFIM,NaN,true
retail,700,V1_vs_ITUFP,NaN,true
retail,800,V1_vs_V2_DFS_Full,NaN,true
retail,800,V1_vs_V3_BFS_Search,NaN,true
retail,800,V1_vs_V4_DFS_Search,NaN,true
retail,800,V1_vs_TopKPFIM,NaN,true
retail,800,V1_vs_ITUFP,NaN,true
retail,900,V1_vs_V2_DFS_Full,NaN,true
retail,900,V1_vs_V3_BFS_Search,NaN,true
retail,900,V1_vs_V4_DFS_Search,NaN,true
retail,900,V1_vs_TopKPFIM,NaN,true
retail,900,V1_vs_ITUFP,NaN,true
