dataset,param,value,rep,runtime_ms,topk_count
liquor_11frequent_uncertain,alpha,0.5,0,13049,800
liquor_11frequent_uncertain,alpha,0.5,1,12766,800
liquor_11frequent_uncertain,alpha,0.5,2,13103,800
liquor_11frequent_uncertain,alpha,1.0,0,12556,800
liquor_11frequent_uncertain,alpha,1.0,1,12603,800
liquor_11frequent_uncertain,alpha,1.0,2,12488,800
liquor_11frequent_uncertain,alpha,1.5,0,12613,800
liquor_11frequent_uncertain,alpha,1.5,1,12668,800
liquor_11frequent_uncertain,alpha,1.5,2,12646,800
liquor_11frequent_uncertain,alpha,2.0,0,12773,800
liquor_11frequent_uncertain,alpha,2.0,1,12790,800
liquor_11frequent_uncertain,alpha,2.0,2,12816,800
liquor_11frequent_uncertain,rho,0.0,0,13021,800
liquor_11frequent_uncertain,rho,0.0,1,12977,800
liquor_11frequent_uncertain,rho,0.0,2,12937,800
liquor_11frequent_uncertain,rho,0.02,0,12866,800
liquor_11frequent_uncertain,rho,0.02,1,12780,800
liquor_11frequent_uncertain,rho,0.02,2,12674,800
liquor_11frequent_uncertain,rho,0.05,0,12564,800
liquor_11frequent_uncertain,rho,0.05,1,12727,800
liquor_11frequent_uncertain,rho,0.05,2,12730,800
liquor_11frequent_uncertain,rho,0.1,0,12662,800
liquor_11frequent_uncertain,rho,0.1,1,12649,800
liquor_11frequent_uncertain,rho,0.1,2,12628,800
liquor_11frequent_uncertain,p_min,0.05,0,12699,800
liquor_11frequent_uncertain,p_min,0.05,1,12775,800
liquor_11frequent_uncertain,p_min,0.05,2,12588,800
liquor_11frequent_uncertain,p_min,0.1,0,12758,800
liquor_11frequent_uncertain,p_min,0.1,1,12723,800
liquor_11frequent_uncertain,p_min,0.1,2,12930,800
liquor_11frequent_uncertain,p_min,0.2,0,13262,800
liquor_11frequent_uncertain,p_min,0.2,1,12740,800
liquor_11frequent_uncertain,p_min,0.2,2,12723,800
liquor_11frequent_uncertain,p_min,0.3,0,12612,800
liquor_11frequent_uncertain,p_min,0.3,1,12757,800
liquor_11frequent_uncertain,p_min,0.3,2,12954,800
liquor_11frequent_uncertain,p_max,0.7,0,12935,800
liquor_11frequent_uncertain,p_max,0.7,1,13030,800
liquor_11frequent_uncertain,p_max,0.7,2,13134,800
liquor_11frequent_uncertain,p_max,0.8,0,12871,800
liquor_11frequent_uncertain,p_max,0.8,1,12893,800
liquor_11frequent_uncertain,p_max,0.8,2,12848,800
liquor_11frequent_uncertain,p_max,0.9,0,12770,800
liquor_11frequent_uncertain,p_max,0.9,1,12564,800
liquor_11frequent_uncertain,p_max,0.9,2,12756,800
liquor_11frequent_uncertain,p_max,1.0,0,12643,800
liquor_11frequent_uncertain,p_max,1.0,1,12802,800
liquor_11frequent_uncertain,p_max,1.0,2,12858,800
