dataset,param,value,rep,runtime_ms,topk_count
mushrooms_uncertain,alpha,0.5,0,20519,50
mushrooms_uncertain,alpha,0.5,1,20707,50
mushrooms_uncertain,alpha,0.5,2,20743,50
mushrooms_uncertain,alpha,1.0,0,20669,50
mushrooms_uncertain,alpha,1.0,1,20635,50
mushrooms_uncertain,alpha,1.0,2,20536,50
mushrooms_uncertain,alpha,1.5,0,20651,50
mushrooms_uncertain,alpha,1.5,1,20592,50
mushrooms_uncertain,alpha,1.5,2,20769,50
mushrooms_uncertain,alpha,2.0,0,20795,50
mushrooms_uncertain,alpha,2.0,1,20781,50
mushrooms_uncertain,alpha,2.0,2,20826,50
mushrooms_uncertain,rho,0.0,0,20908,50
mushrooms_uncertain,rho,0.0,1,20789,50
mushrooms_uncertain,rho,0.0,2,20868,50
mushrooms_uncertain,rho,0.02,0,20775,50
mushrooms_uncertain,rho,0.02,1,20880,50
mushrooms_uncertain,rho,0.02,2,20925,50
mushrooms_uncertain,rho,0.05,0,20922,50
mushrooms_uncertain,rho,0.05,1,20823,50
mushrooms_uncertain,rho,0.05,2,20923,50
mushrooms_uncertain,rho,0.1,0,20852,50
mushrooms_uncertain,rho,0.1,1,20874,50
mushrooms_uncertain,rho,0.1,2,20875,50
mushrooms_uncertain,p_min,0.05,0,20847,50
mushrooms_uncertain,p_min,0.05,1,20769,50
mushrooms_uncertain,p_min,0.05,2,20835,50
mushrooms_uncertain,p_min,0.1,0,20883,50
mushrooms_uncertain,p_min,0.1,1,20945,50
mushrooms_uncertain,p_min,0.1,2,20904,50
mushrooms_uncertain,p_min,0.2,0,20845,50
mushrooms_uncertain,p_min,0.2,1,20883,50
mushrooms_uncertain,p_min,0.2,2,20937,50
mushrooms_uncertain,p_min,0.3,0,20913,50
mushrooms_uncertain,p_min,0.3,1,20927,50
mushrooms_uncertain,p_min,0.3,2,20967,50
mushrooms_uncertain,p_max,0.7,0,20915,50
mushrooms_uncertain,p_max,0.7,1,20828,50
mushrooms_uncertain,p_max,0.7,2,20825,50
mushrooms_uncertain,p_max,0.8,0,20848,50
mushrooms_uncertain,p_max,0.8,1,20907,50
mushrooms_uncertain,p_max,0.8,2,20850,50
mushrooms_uncertain,p_max,0.9,0,20887,50
mushrooms_uncertain,p_max,0.9,1,20908,50
mushrooms_uncertain,p_max,0.9,2,20806,50
mushrooms_uncertain,p_max,1.0,0,20929,50
mushrooms_uncertain,p_max,1.0,1,20757,50
mushrooms_uncertain,p_max,1.0,2,20784,50
