dataset,param,value,rep,runtime_ms,topk_count
retail_uncertain,alpha,0.5,0,32992,700
retail_uncertain,alpha,0.5,1,33119,700
retail_uncertain,alpha,0.5,2,32985,700
retail_uncertain,alpha,1.0,0,32965,700
retail_uncertain,alpha,1.0,1,33169,700
retail_uncertain,alpha,1.0,2,33089,700
retail_uncertain,alpha,1.5,0,29290,700
retail_uncertain,alpha,1.5,1,29139,700
retail_uncertain,alpha,1.5,2,29115,700
retail_uncertain,alpha,2.0,0,33136,700
retail_uncertain,alpha,2.0,1,32803,700
retail_uncertain,alpha,2.0,2,33063,700
retail_uncertain,rho,0.0,0,32885,700
retail_uncertain,rho,0.0,1,32919,700
retail_uncertain,rho,0.0,2,32968,700
retail_uncertain,rho,0.02,0,35631,700
retail_uncertain,rho,0.02,1,33385,700
retail_uncertain,rho,0.02,2,33349,700
retail_uncertain,rho,0.05,0,32968,700
retail_uncertain,rho,0.05,1,33116,700
retail_uncertain,rho,0.05,2,32813,700
retail_uncertain,rho,0.1,0,33123,700
retail_uncertain,rho,0.1,1,33028,700
retail_uncertain,rho,0.1,2,32917,700
retail_uncertain,p_min,0.05,0,32940,700
retail_uncertain,p_min,0.05,1,32741,700
retail_uncertain,p_min,0.05,2,32903,700
retail_uncertain,p_min,0.1,0,33240,700
retail_uncertain,p_min,0.1,1,32943,700
retail_uncertain,p_min,0.1,2,33066,700
retail_uncertain,p_min,0.2,0,33028,700
retail_uncertain,p_min,0.2,1,32943,700
retail_uncertain,p_min,0.2,2,32912,700
retail_uncertain,p_min,0.3,0,33064,700
retail_uncertain,p_min,0.3,1,32839,700
retail_uncertain,p_min,0.3,2,32370,700
retail_uncertain,p_max,0.7,0,28983,700
retail_uncertain,p_max,0.7,1,29247,700
retail_uncertain,p_max,0.7,2,29032,700
retail_uncertain,p_max,0.8,0,32933,700
retail_uncertain,p_max,0.8,1,32997,700
retail_uncertain,p_max,0.8,2,32606,700
retail_uncertain,p_max,0.9,0,30919,700
retail_uncertain,p_max,0.9,1,31166,700
retail_uncertain,p_max,0.9,2,30734,700
retail_uncertain,p_max,1.0,0,33036,700
retail_uncertain,p_max,1.0,1,32915,700
retail_uncertain,p_max,1.0,2,33006,700
