dataset,k,config,rep,runtime_ms,candidates_explored,closure_checks
processed_data/chess_uncertain.txt,10,FULL,0,410,6,15
processed_data/chess_uncertain.txt,10,FULL,1,400,6,15
processed_data/chess_uncertain.txt,10,FULL,2,398,6,15
processed_data/chess_uncertain.txt,10,NO_G1_frontier,0,3469,27,102
processed_data/chess_uncertain.txt,10,NO_G1_frontier,1,3455,27,102
processed_data/chess_uncertain.txt,10,NO_G1_frontier,2,3417,27,102
processed_data/chess_uncertain.txt,10,NO_G2_item,0,438,6,15
processed_data/chess_uncertain.txt,10,NO_G2_item,1,426,6,15
processed_data/chess_uncertain.txt,10,NO_G2_item,2,430,6,15
processed_data/chess_uncertain.txt,10,NO_G3_upbound,0,420,6,15
processed_data/chess_uncertain.txt,10,NO_G3_upbound,1,423,6,15
processed_data/chess_uncertain.txt,10,NO_G3_upbound,2,422,6,15
processed_data/chess_uncertain.txt,10,NO_G4_tidset,0,428,6,15
processed_data/chess_uncertain.txt,10,NO_G4_tidset,1,418,6,15
processed_data/chess_uncertain.txt,10,NO_G4_tidset,2,421,6,15
processed_data/chess_uncertain.txt,10,ONLY_G1,0,459,6,15
processed_data/chess_uncertain.txt,10,ONLY_G1,1,452,6,15
processed_data/chess_uncertain.txt,10,ONLY_G1,2,469,6,15
processed_data/chess_uncertain.txt,10,ONLY_G2_G3_G4,0,3422,27,102
processed_data/chess_uncertain.txt,10,ONLY_G2_G3_G4,1,3420,27,102
processed_data/chess_uncertain.txt,10,ONLY_G2_G3_G4,2,3405,27,102
processed_data/chess_uncertain.txt,20,FULL,0,1612,15,34
processed_data/chess_uncertain.txt,20,FULL,1,1612,15,34
processed_data/chess_uncertain.txt,20,FULL,2,1597,15,34
processed_data/chess_uncertain.txt,20,NO_G1_frontier,0,7191,166,241
processed_data/chess_uncertain.txt,20,NO_G1_frontier,1,7672,166,241
processed_data/chess_uncertain.txt,20,NO_G1_frontier,2,7289,166,241
processed_data/chess_uncertain.txt,20,NO_G2_item,0,1645,15,34
processed_data/chess_uncertain.txt,20,NO_G2_item,1,1657,15,34
processed_data/chess_uncertain.txt,20,NO_G2_item,2,1552,15,34
processed_data/chess_uncertain.txt,20,NO_G3_upbound,0,1686,15,34
processed_data/chess_uncertain.txt,20,NO_G3_upbound,1,1689,15,34
processed_data/chess_uncertain.txt,20,NO_G3_upbound,2,1698,15,34
processed_data/chess_uncertain.txt,20,NO_G4_tidset,0,1654,15,34
processed_data/chess_uncertain.txt,20,NO_G4_tidset,1,1670,15,34
processed_data/chess_uncertain.txt,20,NO_G4_tidset,2,1660,15,34
processed_data/chess_uncertain.txt,20,ONLY_G1,0,1826,15,34
processed_data/chess_uncertain.txt,20,ONLY_G1,1,1822,15,34
processed_data/chess_uncertain.txt,20,ONLY_G1,2,1817,15,34
processed_data/chess_uncertain.txt,20,ONLY_G2_G3_G4,0,7101,166,241
