dataset,k,config,runtime_mean_ms,runtime_std_ms,speedup_vs_full,p_value_vs_full,closure_checks_mean
processed_data/chess_uncertain.txt,10,FULL,408.00,2.00,1.000,1.000000,15.0
processed_data/chess_uncertain.txt,10,NO_G1_frontier,3447.00,26.91,0.118,NaN,102.0
processed_data/chess_uncertain.txt,10,NO_G2_item,402.67,6.43,1.013,NaN,15.0
processed_data/chess_uncertain.txt,10,NO_G3_upbound,415.00,4.36,0.983,NaN,15.0
processed_data/chess_uncertain.txt,10,NO_G4_tidset,402.33,5.13,1.014,NaN,15.0
processed_data/chess_uncertain.txt,10,ONLY_G1,446.67,6.81,0.913,NaN,15.0
processed_data/chess_uncertain.txt,10,ONLY_G2_G3_G4,3549.00,48.51,0.115,NaN,102.0
processed_data/chess_uncertain.txt,20,FULL,1551.33,6.03,1.000,1.000000,34.0
processed_data/chess_uncertain.txt,20,NO_G1_frontier,7384.00,254.18,0.210,NaN,241.0
processed_data/chess_uncertain.txt,20,NO_G2_item,1607.00,8.66,0.965,NaN,34.0
processed_data/chess_uncertain.txt,20,NO_G3_upbound,1691.00,6.24,0.917,NaN,34.0
processed_data/chess_uncertain.txt,20,NO_G4_tidset,1594.67,121.92,0.973,NaN,34.0
processed_data/chess_uncertain.txt,20,ONLY_G1,1821.67,4.51,0.852,NaN,34.0
processed_data/chess_uncertain.txt,20,ONLY_G2_G3_G4,7195.00,91.93,0.216,NaN,241.0
processed_data/chess_uncertain.txt,30,FULL,3057.33,18.01,1.000,1.000000,53.0
processed_data/chess_uncertain.txt,30,NO_G1_frontier,12826.67,167.14,0.238,NaN,468.0
processed_data/chess_uncertain.txt,30,NO_G2_item,3077.33,38.53,0.994,NaN,53.0
processed_data/chess_uncertain.txt,30,NO_G3_upbound,3224.67,8.33,0.948,NaN,53.0
processed_data/chess_uncertain.txt,30,NO_G4_tidset,3144.00,22.52,0.972,NaN,53.0
processed_data/chess_uncertain.txt,30,ONLY_G1,3390.33,14.50,0.902,NaN,53.0
processed_data/chess_uncertain.txt,30,ONLY_G2_G3_G4,12986.33,15.50,0.235,NaN,468.0
processed_data/chess_uncertain.txt,40,FULL,4450.67,17.47,1.000,1.000000,72.0
processed_data/chess_uncertain.txt,40,NO_G1_frontier,21348.00,326.12,0.208,NaN,844.0
processed_data/chess_uncertain.txt,40,NO_G2_item,4511.67,95.66,0.986,NaN,72.0
processed_data/chess_uncertain.txt,40,NO_G3_upbound,4546.33,17.62,0.979,NaN,72.0
processed_data/chess_uncertain.txt,40,NO_G4_tidset,4589.67,14.64,0.970,NaN,72.0
processed_data/chess_uncertain.txt,40,ONLY_G1,5237.67,78.13,0.850,NaN,72.0
processed_data/chess_uncertain.txt,40,ONLY_G2_G3_G4,21385.67,164.50,0.208,NaN,844.0
processed_data/chess_uncertain.txt,50,FULL,5439.00,17.35,1.000,1.000000,91.0
processed_data/chess_uncertain.txt,50,NO_G1_frontier,27029.00,39.36,0.201,NaN,1236.0
processed_data/chess_uncertain.txt,50,NO_G2_item,5409.67,80.88,1.005,NaN,91.0
processed_data/chess_uncertain.txt,50,NO_G3_upbound,5454.33,94.11,0.997,NaN,91.0
processed_data/chess_uncertain.txt,50,NO_G4_tidset,5440.33,18.50,1.000,NaN,91.0
processed_data/chess_uncertain.txt,50,ONLY_G1,6336.67,105.22,0.858,NaN,91.0
processed_data/chess_uncertain.txt,50,ONLY_G2_G3_G4,29275.33,4183.08,0.186,NaN,1236.0
