dataset,k,config,rep,runtime_ms,candidates_explored,closure_checks
processed_data/liquor_11frequent_uncertain.txt,600,FULL,0,9966,282,923
processed_data/liquor_11frequent_uncertain.txt,600,FULL,1,10093,282,923
processed_data/liquor_11frequent_uncertain.txt,600,FULL,2,10210,282,923
processed_data/liquor_11frequent_uncertain.txt,600,NO_G1_frontier,0,24037,774,4800
processed_data/liquor_11frequent_uncertain.txt,600,NO_G1_frontier,1,24293,774,4800
processed_data/liquor_11frequent_uncertain.txt,600,NO_G1_frontier,2,25598,774,4800
processed_data/liquor_11frequent_uncertain.txt,600,NO_G2_item,0,34779,282,923
processed_data/liquor_11frequent_uncertain.txt,600,NO_G2_item,1,34523,282,923
processed_data/liquor_11frequent_uncertain.txt,600,NO_G2_item,2,35657,282,923
processed_data/liquor_11frequent_uncertain.txt,600,NO_G3_upbound,0,36421,282,923
processed_data/liquor_11frequent_uncertain.txt,600,NO_G3_upbound,1,37022,282,923
processed_data/liquor_11frequent_uncertain.txt,600,NO_G3_upbound,2,36587,282,923
processed_data/liquor_11frequent_uncertain.txt,600,NO_G4_tidset,0,35246,282,923
processed_data/liquor_11frequent_uncertain.txt,600,NO_G4_tidset,1,34980,282,923
processed_data/liquor_11frequent_uncertain.txt,600,NO_G4_tidset,2,35043,282,923
processed_data/liquor_11frequent_uncertain.txt,600,ONLY_G1,0,37447,282,923
processed_data/liquor_11frequent_uncertain.txt,600,ONLY_G1,1,36918,282,923
processed_data/liquor_11frequent_uncertain.txt,600,ONLY_G1,2,37486,282,923
processed_data/liquor_11frequent_uncertain.txt,600,ONLY_G2_G3_G4,0,62015,774,4800
processed_data/liquor_11frequent_uncertain.txt,600,ONLY_G2_G3_G4,1,63994,774,4800
processed_data/liquor_11frequent_uncertain.txt,600,ONLY_G2_G3_G4,2,54365,774,4800
processed_data/liquor_11frequent_uncertain.txt,700,FULL,0,10118,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,FULL,1,10311,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,FULL,2,10552,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,NO_G1_frontier,0,26532,991,5017
processed_data/liquor_11frequent_uncertain.txt,700,NO_G1_frontier,1,31416,991,5017
processed_data/liquor_11frequent_uncertain.txt,700,NO_G1_frontier,2,27240,991,5017
processed_data/liquor_11frequent_uncertain.txt,700,NO_G2_item,0,11376,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,NO_G2_item,1,11255,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,NO_G2_item,2,11381,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,NO_G3_upbound,0,12343,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,NO_G3_upbound,1,12166,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,NO_G3_upbound,2,12076,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,NO_G4_tidset,0,11665,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,NO_G4_tidset,1,11644,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,NO_G4_tidset,2,11263,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,ONLY_G1,0,12979,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,ONLY_G1,1,13578,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,ONLY_G1,2,13400,334,1079
processed_data/liquor_11frequent_uncertain.txt,700,ONLY_G2_G3_G4,0,27654,991,5017
processed_data/liquor_11frequent_uncertain.txt,700,ONLY_G2_G3_G4,1,26248,991,5017
processed_data/liquor_11frequent_uncertain.txt,700,ONLY_G2_G3_G4,2,27091,991,5017
processed_data/liquor_11frequent_uncertain.txt,800,FULL,0,12095,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,FULL,1,12035,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,FULL,2,12220,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,NO_G1_frontier,0,30124,1322,5348
processed_data/liquor_11frequent_uncertain.txt,800,NO_G1_frontier,1,30335,1322,5348
processed_data/liquor_11frequent_uncertain.txt,800,NO_G1_frontier,2,30214,1322,5348
processed_data/liquor_11frequent_uncertain.txt,800,NO_G2_item,0,13523,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,NO_G2_item,1,13272,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,NO_G2_item,2,13494,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,NO_G3_upbound,0,14120,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,NO_G3_upbound,1,14017,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,NO_G3_upbound,2,14196,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,NO_G4_tidset,0,13590,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,NO_G4_tidset,1,13051,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,NO_G4_tidset,2,13035,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,ONLY_G1,0,16006,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,ONLY_G1,1,15339,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,ONLY_G1,2,15452,429,1305
processed_data/liquor_11frequent_uncertain.txt,800,ONLY_G2_G3_G4,0,29569,1322,5348
