dataset,k,config,runtime_mean_ms,runtime_std_ms,speedup_vs_full,p_value_vs_full,closure_checks_mean
processed_data/liquor_11frequent_uncertain.txt,600,FULL,10089.67,122.03,1.000,1.000000,923.0
processed_data/liquor_11frequent_uncertain.txt,600,NO_G1_frontier,24642.67,837.19,0.409,NaN,4800.0
processed_data/liquor_11frequent_uncertain.txt,600,NO_G2_item,34986.33,594.75,0.288,NaN,923.0
processed_data/liquor_11frequent_uncertain.txt,600,NO_G3_upbound,36676.67,310.37,0.275,NaN,923.0
processed_data/liquor_11frequent_uncertain.txt,600,NO_G4_tidset,35089.67,139.00,0.288,NaN,923.0
processed_data/liquor_11frequent_uncertain.txt,600,ONLY_G1,37283.67,317.28,0.271,NaN,923.0
processed_data/liquor_11frequent_uncertain.txt,600,ONLY_G2_G3_G4,60124.67,5085.22,0.168,NaN,4800.0
processed_data/liquor_11frequent_uncertain.txt,700,FULL,11327.00,217.44,1.000,1.000000,1079.0
processed_data/liquor_11frequent_uncertain.txt,700,NO_G1_frontier,28396.00,2639.25,0.399,NaN,5017.0
processed_data/liquor_11frequent_uncertain.txt,700,NO_G2_item,11337.33,71.35,0.999,NaN,1079.0
processed_data/liquor_11frequent_uncertain.txt,700,NO_G3_upbound,12195.00,135.84,0.929,NaN,1079.0
processed_data/liquor_11frequent_uncertain.txt,700,NO_G4_tidset,11524.00,226.28,0.983,NaN,1079.0
processed_data/liquor_11frequent_uncertain.txt,700,ONLY_G1,13319.00,307.61,0.850,NaN,1079.0
processed_data/liquor_11frequent_uncertain.txt,700,ONLY_G2_G3_G4,26997.67,707.63,0.420,NaN,5017.0
processed_data/liquor_11frequent_uncertain.txt,800,FULL,13116.67,94.38,1.000,1.000000,1305.0
processed_data/liquor_11frequent_uncertain.txt,800,NO_G1_frontier,30224.33,105.88,0.434,NaN,5348.0
processed_data/liquor_11frequent_uncertain.txt,800,NO_G2_item,13429.67,137.31,0.977,NaN,1305.0
processed_data/liquor_11frequent_uncertain.txt,800,NO_G3_upbound,14111.00,89.84,0.930,NaN,1305.0
processed_data/liquor_11frequent_uncertain.txt,800,NO_G4_tidset,13225.33,315.91,0.992,NaN,1305.0
processed_data/liquor_11frequent_uncertain.txt,800,ONLY_G1,15599.00,356.97,0.841,NaN,1305.0
processed_data/liquor_11frequent_uncertain.txt,800,ONLY_G2_G3_G4,30075.33,486.84,0.436,NaN,5348.0
processed_data/liquor_11frequent_uncertain.txt,900,FULL,16496.00,540.81,1.000,1.000000,1564.0
processed_data/liquor_11frequent_uncertain.txt,900,NO_G1_frontier,37508.00,179.22,0.440,NaN,5981.0
processed_data/liquor_11frequent_uncertain.txt,900,NO_G2_item,16951.67,276.70,0.973,NaN,1564.0
processed_data/liquor_11frequent_uncertain.txt,900,NO_G3_upbound,17318.33,525.29,0.953,NaN,1564.0
processed_data/liquor_11frequent_uncertain.txt,900,NO_G4_tidset,16166.33,187.07,1.020,NaN,1564.0
processed_data/liquor_11frequent_uncertain.txt,900,ONLY_G1,20061.00,306.68,0.822,NaN,1564.0
processed_data/liquor_11frequent_uncertain.txt,900,ONLY_G2_G3_G4,37333.67,360.11,0.442,NaN,5981.0
processed_data/liquor_11frequent_uncertain.txt,1000,FULL,16965.00,282.35,1.000,1.000000,1635.0
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G1_frontier,50884.33,20835.54,0.333,NaN,6021.0
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G2_item,52430.33,254.23,0.324,NaN,1635.0
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G3_upbound,52126.33,387.23,0.325,NaN,1635.0
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G4_tidset,49614.33,500.12,0.342,NaN,1635.0
processed_data/liquor_11frequent_uncertain.txt,1000,ONLY_G1,59565.33,617.87,0.285,NaN,1635.0
processed_data/liquor_11frequent_uncertain.txt,1000,ONLY_G2_G3_G4,60760.33,33309.80,0.279,NaN,6021.0
