dataset,k,config,rep,runtime_ms,candidates_explored,closure_checks
processed_data/mushrooms_uncertain.txt,30,FULL,0,16792,26,55
processed_data/mushrooms_uncertain.txt,30,FULL,1,16783,26,55
processed_data/mushrooms_uncertain.txt,30,FULL,2,16829,26,55
processed_data/mushrooms_uncertain.txt,30,NO_G1_frontier,0,33144,257,376
processed_data/mushrooms_uncertain.txt,30,NO_G1_frontier,1,32797,257,376
processed_data/mushrooms_uncertain.txt,30,NO_G1_frontier,2,33003,257,376
processed_data/mushrooms_uncertain.txt,30,NO_G2_item,0,16869,26,55
processed_data/mushrooms_uncertain.txt,30,NO_G2_item,1,17034,26,55
processed_data/mushrooms_uncertain.txt,30,NO_G2_item,2,17059,26,55
processed_data/mushrooms_uncertain.txt,30,NO_G3_upbound,0,18686,26,55
processed_data/mushrooms_uncertain.txt,30,NO_G3_upbound,1,18479,26,55
processed_data/mushrooms_uncertain.txt,30,NO_G3_upbound,2,18408,26,55
processed_data/mushrooms_uncertain.txt,30,NO_G4_tidset,0,17163,26,55
processed_data/mushrooms_uncertain.txt,30,NO_G4_tidset,1,16968,26,55
processed_data/mushrooms_uncertain.txt,30,NO_G4_tidset,2,17107,26,55
processed_data/mushrooms_uncertain.txt,30,ONLY_G1,0,20296,26,55
processed_data/mushrooms_uncertain.txt,30,ONLY_G1,1,20377,26,55
processed_data/mushrooms_uncertain.txt,30,ONLY_G1,2,20625,26,55
processed_data/mushrooms_uncertain.txt,30,ONLY_G2_G3_G4,0,33025,257,376
processed_data/mushrooms_uncertain.txt,30,ONLY_G2_G3_G4,1,32782,257,376
processed_data/mushrooms_uncertain.txt,30,ONLY_G2_G3_G4,2,33140,257,376
processed_data/mushrooms_uncertain.txt,40,FULL,0,19461,34,73
processed_data/mushrooms_uncertain.txt,40,FULL,1,19211,34,73
processed_data/mushrooms_uncertain.txt,40,FULL,2,19165,34,73
processed_data/mushrooms_uncertain.txt,40,NO_G1_frontier,0,37465,471,590
processed_data/mushrooms_uncertain.txt,40,NO_G1_frontier,1,37166,471,590
processed_data/mushrooms_uncertain.txt,40,NO_G1_frontier,2,37845,471,590
processed_data/mushrooms_uncertain.txt,40,NO_G2_item,0,20413,34,73
processed_data/mushrooms_uncertain.txt,40,NO_G2_item,1,20407,34,73
processed_data/mushrooms_uncertain.txt,40,NO_G2_item,2,20097,34,73
processed_data/mushrooms_uncertain.txt,40,NO_G3_upbound,0,21252,34,73
processed_data/mushrooms_uncertain.txt,40,NO_G3_upbound,1,21075,34,73
processed_data/mushrooms_uncertain.txt,40,NO_G3_upbound,2,21282,34,73
processed_data/mushrooms_uncertain.txt,40,NO_G4_tidset,0,20144,34,73
processed_data/mushrooms_uncertain.txt,40,NO_G4_tidset,1,20600,34,73
processed_data/mushrooms_uncertain.txt,40,NO_G4_tidset,2,20362,34,73
processed_data/mushrooms_uncertain.txt,40,ONLY_G1,0,22901,34,73
processed_data/mushrooms_uncertain.txt,40,ONLY_G1,1,22529,34,73
processed_data/mushrooms_uncertain.txt,40,ONLY_G1,2,22659,34,73
processed_data/mushrooms_uncertain.txt,40,ONLY_G2_G3_G4,0,38781,471,590
processed_data/mushrooms_uncertain.txt,40,ONLY_G2_G3_G4,1,57253,471,590
processed_data/mushrooms_uncertain.txt,40,ONLY_G2_G3_G4,2,45516,471,590
processed_data/mushrooms_uncertain.txt,50,FULL,0,22547,43,92
processed_data/mushrooms_uncertain.txt,50,FULL,1,22485,43,92
processed_data/mushrooms_uncertain.txt,50,FULL,2,22495,43,92
processed_data/mushrooms_uncertain.txt,50,NO_G1_frontier,0,43686,845,964
processed_data/mushrooms_uncertain.txt,50,NO_G1_frontier,1,43530,845,964
processed_data/mushrooms_uncertain.txt,50,NO_G1_frontier,2,43539,845,964
processed_data/mushrooms_uncertain.txt,50,NO_G2_item,0,23513,43,92
processed_data/mushrooms_uncertain.txt,50,NO_G2_item,1,23283,43,92
processed_data/mushrooms_uncertain.txt,50,NO_G2_item,2,23343,43,92
processed_data/mushrooms_uncertain.txt,50,NO_G3_upbound,0,24235,43,92
processed_data/mushrooms_uncertain.txt,50,NO_G3_upbound,1,32837,43,92
processed_data/mushrooms_uncertain.txt,50,NO_G3_upbound,2,30530,43,92
processed_data/mushrooms_uncertain.txt,50,NO_G4_tidset,0,23487,43,92
processed_data/mushrooms_uncertain.txt,50,NO_G4_tidset,1,23577,43,92
processed_data/mushrooms_uncertain.txt,50,NO_G4_tidset,2,23594,43,92
processed_data/mushrooms_uncertain.txt,50,ONLY_G1,0,26159,43,92
processed_data/mushrooms_uncertain.txt,50,ONLY_G1,1,25970,43,92
processed_data/mushrooms_uncertain.txt,50,ONLY_G1,2,25618,43,92
processed_data/mushrooms_uncertain.txt,50,ONLY_G2_G3_G4,0,43572,845,964
processed_data/mushrooms_uncertain.txt,50,ONLY_G2_G3_G4,1,43516,845,964
processed_data/mushrooms_uncertain.txt,50,ONLY_G2_G3_G4,2,43136,845,964
processed_data/mushrooms_uncertain.txt,60,FULL,0,24029,52,111
processed_data/mushrooms_uncertain.txt,60,FULL,1,24366,52,111
processed_data/mushrooms_uncertain.txt,60,FULL,2,24825,52,111
processed_data/mushrooms_uncertain.txt,60,NO_G1_frontier,0,49758,1362,1481
processed_data/mushrooms_uncertain.txt,60,NO_G1_frontier,1,49820,1362,1481
processed_data/mushrooms_uncertain.txt,60,NO_G1_frontier,2,49983,1362,1481
processed_data/mushrooms_uncertain.txt,60,NO_G2_item,0,25940,52,111
processed_data/mushrooms_uncertain.txt,60,NO_G2_item,1,26123,52,111
processed_data/mushrooms_uncertain.txt,60,NO_G2_item,2,25891,52,111
processed_data/mushrooms_uncertain.txt,60,NO_G3_upbound,0,26568,52,111
processed_data/mushrooms_uncertain.txt,60,NO_G3_upbound,1,27052,52,111
processed_data/mushrooms_uncertain.txt,60,NO_G3_upbound,2,27101,52,111
processed_data/mushrooms_uncertain.txt,60,NO_G4_tidset,0,26551,52,111
processed_data/mushrooms_uncertain.txt,60,NO_G4_tidset,1,26386,52,111
processed_data/mushrooms_uncertain.txt,60,NO_G4_tidset,2,26538,52,111
processed_data/mushrooms_uncertain.txt,60,ONLY_G1,0,28598,52,111
processed_data/mushrooms_uncertain.txt,60,ONLY_G1,1,28116,52,111
processed_data/mushrooms_uncertain.txt,60,ONLY_G1,2,28834,52,111
processed_data/mushrooms_uncertain.txt,60,ONLY_G2_G3_G4,0,49735,1362,1481
processed_data/mushrooms_uncertain.txt,60,ONLY_G2_G3_G4,1,49699,1362,1481
processed_data/mushrooms_uncertain.txt,60,ONLY_G2_G3_G4,2,49624,1362,1481
processed_data/mushrooms_uncertain.txt,70,FULL,0,27575,61,132
processed_data/mushrooms_uncertain.txt,70,FULL,1,27447,61,132
processed_data/mushrooms_uncertain.txt,70,FULL,2,27511,61,132
processed_data/mushrooms_uncertain.txt,70,NO_G1_frontier,0,55713,1925,2044
processed_data/mushrooms_uncertain.txt,70,NO_G1_frontier,1,55867,1925,2044
processed_data/mushrooms_uncertain.txt,70,NO_G1_frontier,2,55975,1925,2044
processed_data/mushrooms_uncertain.txt,70,NO_G2_item,0,28768,61,132
processed_data/mushrooms_uncertain.txt,70,NO_G2_item,1,28472,61,132
processed_data/mushrooms_uncertain.txt,70,NO_G2_item,2,28774,61,132
processed_data/mushrooms_uncertain.txt,70,NO_G3_upbound,0,29784,61,132
processed_data/mushrooms_uncertain.txt,70,NO_G3_upbound,1,29512,61,132
processed_data/mushrooms_uncertain.txt,70,NO_G3_upbound,2,29656,61,132
processed_data/mushrooms_uncertain.txt,70,NO_G4_tidset,0,28995,61,132
processed_data/mushrooms_uncertain.txt,70,NO_G4_tidset,1,29041,61,132
processed_data/mushrooms_uncertain.txt,70,NO_G4_tidset,2,29249,61,132
processed_data/mushrooms_uncertain.txt,70,ONLY_G1,0,31040,61,132
processed_data/mushrooms_uncertain.txt,70,ONLY_G1,1,31191,61,132
processed_data/mushrooms_uncertain.txt,70,ONLY_G1,2,31222,61,132
processed_data/mushrooms_uncertain.txt,70,ONLY_G2_G3_G4,0,55471,1925,2044
processed_data/mushrooms_uncertain.txt,70,ONLY_G2_G3_G4,1,55479,1925,2044
processed_data/mushrooms_uncertain.txt,70,ONLY_G2_G3_G4,2,55690,1925,2044
