dataset,k,config,runtime_mean_ms,runtime_std_ms,speedup_vs_full,p_value_vs_full,closure_checks_mean
processed_data/mushrooms_uncertain.txt,30,FULL,16987.33,103.24,1.000,1.000000,55.0
processed_data/mushrooms_uncertain.txt,30,NO_G1_frontier,32981.33,174.51,0.515,NaN,376.0
processed_data/mushrooms_uncertain.txt,30,NO_G2_item,16901.33,77.42,1.005,NaN,55.0
processed_data/mushrooms_uncertain.txt,30,NO_G3_upbound,18524.33,144.44,0.917,NaN,55.0
processed_data/mushrooms_uncertain.txt,30,NO_G4_tidset,17079.33,100.40,0.995,NaN,55.0
processed_data/mushrooms_uncertain.txt,30,ONLY_G1,20432.67,171.42,0.831,NaN,55.0
processed_data/mushrooms_uncertain.txt,30,ONLY_G2_G3_G4,32982.33,182.77,0.515,NaN,376.0
processed_data/mushrooms_uncertain.txt,40,FULL,20279.00,159.29,1.000,1.000000,73.0
processed_data/mushrooms_uncertain.txt,40,NO_G1_frontier,37492.00,340.30,0.541,NaN,590.0
processed_data/mushrooms_uncertain.txt,40,NO_G2_item,20305.67,180.74,0.999,NaN,73.0
processed_data/mushrooms_uncertain.txt,40,NO_G3_upbound,21203.00,111.86,0.956,NaN,73.0
processed_data/mushrooms_uncertain.txt,40,NO_G4_tidset,20368.67,228.07,0.996,NaN,73.0
processed_data/mushrooms_uncertain.txt,40,ONLY_G1,22696.33,188.79,0.893,NaN,73.0
processed_data/mushrooms_uncertain.txt,40,ONLY_G2_G3_G4,47183.33,9348.19,0.430,NaN,590.0
processed_data/mushrooms_uncertain.txt,50,FULL,24509.00,1720.21,1.000,1.000000,92.0
processed_data/mushrooms_uncertain.txt,50,NO_G1_frontier,43585.00,87.58,0.562,NaN,964.0
processed_data/mushrooms_uncertain.txt,50,NO_G2_item,23379.67,119.30,1.048,NaN,92.0
processed_data/mushrooms_uncertain.txt,50,NO_G3_upbound,29200.67,4452.41,0.839,NaN,92.0
processed_data/mushrooms_uncertain.txt,50,NO_G4_tidset,23552.67,57.50,1.041,NaN,92.0
processed_data/mushrooms_uncertain.txt,50,ONLY_G1,25915.67,274.56,0.946,NaN,92.0
processed_data/mushrooms_uncertain.txt,50,ONLY_G2_G3_G4,43408.00,237.22,0.565,NaN,964.0
processed_data/mushrooms_uncertain.txt,60,FULL,26073.33,273.21,1.000,1.000000,111.0
processed_data/mushrooms_uncertain.txt,60,NO_G1_frontier,49853.67,116.22,0.523,NaN,1481.0
processed_data/mushrooms_uncertain.txt,60,NO_G2_item,25984.67,122.28,1.003,NaN,111.0
processed_data/mushrooms_uncertain.txt,60,NO_G3_upbound,26907.00,294.60,0.969,NaN,111.0
processed_data/mushrooms_uncertain.txt,60,NO_G4_tidset,26491.67,91.74,0.984,NaN,111.0
processed_data/mushrooms_uncertain.txt,60,ONLY_G1,28516.00,365.96,0.914,NaN,111.0
processed_data/mushrooms_uncertain.txt,60,ONLY_G2_G3_G4,49686.00,56.63,0.525,NaN,1481.0
processed_data/mushrooms_uncertain.txt,70,FULL,29244.33,669.50,1.000,1.000000,132.0
processed_data/mushrooms_uncertain.txt,70,NO_G1_frontier,55851.67,131.67,0.524,NaN,2044.0
processed_data/mushrooms_uncertain.txt,70,NO_G2_item,28671.33,172.65,1.020,NaN,132.0
processed_data/mushrooms_uncertain.txt,70,NO_G3_upbound,29650.67,136.08,0.986,NaN,132.0
processed_data/mushrooms_uncertain.txt,70,NO_G4_tidset,29095.00,135.34,1.005,NaN,132.0
processed_data/mushrooms_uncertain.txt,70,ONLY_G1,31151.00,97.37,0.939,NaN,132.0
processed_data/mushrooms_uncertain.txt,70,ONLY_G2_G3_G4,55546.67,124.19,0.526,NaN,2044.0
