dataset,k,algorithm,rep,runtime_ms,peak_heap_mb,max_frontier_size,frontier_kind
chess,10,V1_BFS_Full,0,411,9.68,24,priority_queue
chess,10,V1_BFS_Full,1,403,8.83,24,priority_queue
chess,10,V1_BFS_Full,2,403,9.06,24,priority_queue
chess,10,V2_DFS_Full,0,450,10.01,23,stack
chess,10,V2_DFS_Full,1,447,10.01,23,stack
chess,10,V2_DFS_Full,2,445,9.75,23,stack
chess,10,TopKPFIM,0,8996,31.26,30,over_mining_buffer
chess,10,TopKPFIM,1,9949,31.23,30,over_mining_buffer
chess,10,TopKPFIM,2,9944,31.25,30,over_mining_buffer
chess,10,ITUFP,0,1709,31.27,1,stack_plus_imcup
chess,10,ITUFP,1,1709,31.31,1,stack_plus_imcup
chess,10,ITUFP,2,1694,31.39,1,stack_plus_imcup
chess,20,V1_BFS_Full,0,1455,30.60,157,priority_queue
chess,20,V1_BFS_Full,1,1445,30.62,157,priority_queue
chess,20,V1_BFS_Full,2,1458,30.00,157,priority_queue
chess,20,V2_DFS_Full,0,1802,23.40,139,stack
chess,20,V2_DFS_Full,1,1810,24.74,139,stack
chess,20,V2_DFS_Full,2,1809,24.73,139,stack
chess,20,TopKPFIM,0,15582,34.27,60,over_mining_buffer
chess,20,TopKPFIM,1,15534,35.03,60,over_mining_buffer
chess,20,TopKPFIM,2,15363,34.64,60,over_mining_buffer
chess,20,ITUFP,0,3470,30.59,3,stack_plus_imcup
chess,20,ITUFP,1,3499,31.17,3,stack_plus_imcup
chess,20,ITUFP,2,3483,49.34,3,stack_plus_imcup
chess,30,V1_BFS_Full,0,2814,41.04,376,priority_queue
chess,30,V1_BFS_Full,1,2819,41.02,376,priority_queue
chess,30,V1_BFS_Full,2,2807,38.72,376,priority_queue
chess,30,V2_DFS_Full,0,4215,58.26,328,stack
chess,30,V2_DFS_Full,1,4203,64.92,328,stack
chess,30,V2_DFS_Full,2,4189,70.60,328,stack
chess,30,TopKPFIM,0,19133,40.87,90,over_mining_buffer
chess,30,TopKPFIM,1,19302,89.24,90,over_mining_buffer
chess,30,TopKPFIM,2,19137,89.02,90,over_mining_buffer
chess,30,ITUFP,0,5340,29.45,3,stack_plus_imcup
chess,30,ITUFP,1,5545,28.01,3,stack_plus_imcup
chess,30,ITUFP,2,5570,27.82,3,stack_plus_imcup
chess,40,V1_BFS_Full,0,4165,60.99,742,priority_queue
chess,40,V1_BFS_Full,1,4145,71.58,742,priority_queue
chess,40,V1_BFS_Full,2,4205,65.41,742,priority_queue
chess,40,V2_DFS_Full,0,7310,101.35,638,stack
chess,40,V2_DFS_Full,1,7600,103.77,638,stack
chess,40,V2_DFS_Full,2,7487,103.87,638,stack
chess,40,TopKPFIM,0,22779,94.58,120,over_mining_buffer
chess,40,TopKPFIM,1,23229,91.09,120,over_mining_buffer
chess,40,TopKPFIM,2,22690,91.14,120,over_mining_buffer
chess,40,ITUFP,0,7876,30.14,4,stack_plus_imcup
chess,40,ITUFP,1,7727,28.14,4,stack_plus_imcup
chess,40,ITUFP,2,7724,29.34,4,stack_plus_imcup
chess,50,V1_BFS_Full,0,5095,90.16,1126,priority_queue
chess,50,V1_BFS_Full,1,5089,88.76,1126,priority_queue
chess,50,V1_BFS_Full,2,5092,88.52,1126,priority_queue
chess,50,V2_DFS_Full,0,10858,154.44,912,stack
chess,50,V2_DFS_Full,1,10970,155.05,912,stack
chess,50,V2_DFS_Full,2,11288,155.43,912,stack
chess,50,TopKPFIM,0,27450,98.76,150,over_mining_buffer
chess,50,TopKPFIM,1,27422,96.23,150,over_mining_buffer
chess,50,TopKPFIM,2,27360,94.56,150,over_mining_buffer
chess,50,ITUFP,0,10309,31.42,4,stack_plus_imcup
chess,50,ITUFP,1,10455,31.80,4,stack_plus_imcup
chess,50,ITUFP,2,10408,32.16,4,stack_plus_imcup
