dataset,k,algorithm,rep,runtime_ms,peak_heap_mb,max_frontier_size,frontier_kind
liquor_11frequent,600,V1_BFS_Full,0,9585,238.21,749,priority_queue
liquor_11frequent,600,V1_BFS_Full,1,9731,229.42,749,priority_queue
liquor_11frequent,600,V1_BFS_Full,2,10168,244.12,749,priority_queue
liquor_11frequent,600,V2_DFS_Full,0,9937,236.48,731,stack
liquor_11frequent,600,V2_DFS_Full,1,9947,232.52,731,stack
liquor_11frequent,600,V2_DFS_Full,2,10033,276.01,731,stack
liquor_11frequent,600,TopKPFIM,0,39858,133.44,1800,over_mining_buffer
liquor_11frequent,600,TopKPFIM,1,40116,134.00,1800,over_mining_buffer
liquor_11frequent,600,TopKPFIM,2,39788,122.89,1800,over_mining_buffer
liquor_11frequent,600,ITUFP,0,13544,116.74,2,stack_plus_imcup
liquor_11frequent,600,ITUFP,1,13978,109.01,2,stack_plus_imcup
liquor_11frequent,600,ITUFP,2,13879,110.48,2,stack_plus_imcup
liquor_11frequent,700,V1_BFS_Full,0,10557,291.42,958,priority_queue
liquor_11frequent,700,V1_BFS_Full,1,10632,293.70,958,priority_queue
liquor_11frequent,700,V1_BFS_Full,2,10561,304.60,958,priority_queue
liquor_11frequent,700,V2_DFS_Full,0,11209,309.82,921,stack
liquor_11frequent,700,V2_DFS_Full,1,11360,430.78,921,stack
liquor_11frequent,700,V2_DFS_Full,2,11504,316.50,921,stack
liquor_11frequent,700,TopKPFIM,0,43159,134.63,2100,over_mining_buffer
liquor_11frequent,700,TopKPFIM,1,43700,125.45,2100,over_mining_buffer
liquor_11frequent,700,TopKPFIM,2,42805,120.88,2100,over_mining_buffer
liquor_11frequent,700,ITUFP,0,14308,111.43,2,stack_plus_imcup
liquor_11frequent,700,ITUFP,1,14313,111.67,2,stack_plus_imcup
liquor_11frequent,700,ITUFP,2,14301,111.28,2,stack_plus_imcup
liquor_11frequent,800,V1_BFS_Full,0,13077,392.30,1280,priority_queue
liquor_11frequent,800,V1_BFS_Full,1,12523,383.63,1280,priority_queue
liquor_11frequent,800,V1_BFS_Full,2,12555,409.03,1280,priority_queue
liquor_11frequent,800,V2_DFS_Full,0,13165,446.34,1216,stack
liquor_11frequent,800,V2_DFS_Full,1,13755,395.87,1216,stack
liquor_11frequent,800,V2_DFS_Full,2,13380,435.10,1216,stack
liquor_11frequent,800,TopKPFIM,0,46477,136.09,2400,over_mining_buffer
liquor_11frequent,800,TopKPFIM,1,46045,129.49,2400,over_mining_buffer
liquor_11frequent,800,TopKPFIM,2,46555,121.95,2400,over_mining_buffer
liquor_11frequent,800,ITUFP,0,15488,112.06,2,stack_plus_imcup
liquor_11frequent,800,ITUFP,1,15305,111.95,2,stack_plus_imcup
liquor_11frequent,800,ITUFP,2,15730,112.02,2,stack_plus_imcup
liquor_11frequent,900,V1_BFS_Full,0,15433,522.24,1911,priority_queue
liquor_11frequent,900,V1_BFS_Full,1,15467,563.00,1911,priority_queue
liquor_11frequent,900,V1_BFS_Full,2,15523,610.85,1911,priority_queue
liquor_11frequent,900,V2_DFS_Full,0,16598,681.04,1792,stack
liquor_11frequent,900,V2_DFS_Full,1,16567,627.28,1792,stack
liquor_11frequent,900,V2_DFS_Full,2,16642,581.35,1792,stack
liquor_11frequent,900,TopKPFIM,0,48481,120.93,2700,over_mining_buffer
liquor_11frequent,900,TopKPFIM,1,48392,123.44,2700,over_mining_buffer
liquor_11frequent,900,TopKPFIM,2,48189,123.21,2700,over_mining_buffer
liquor_11frequent,900,ITUFP,0,15849,109.27,2,stack_plus_imcup
liquor_11frequent,900,ITUFP,1,15923,109.51,2,stack_plus_imcup
liquor_11frequent,900,ITUFP,2,15880,113.68,2,stack_plus_imcup
liquor_11frequent,1000,V1_BFS_Full,0,16187,540.76,1927,priority_queue
liquor_11frequent,1000,V1_BFS_Full,1,16242,635.50,1927,priority_queue
liquor_11frequent,1000,V1_BFS_Full,2,16014,635.03,1927,priority_queue
liquor_11frequent,1000,V2_DFS_Full,0,18174,591.67,1792,stack
liquor_11frequent,1000,V2_DFS_Full,1,18216,583.18,1792,stack
liquor_11frequent,1000,V2_DFS_Full,2,18268,597.36,1792,stack
liquor_11frequent,1000,TopKPFIM,0,51869,136.63,3000,over_mining_buffer
liquor_11frequent,1000,TopKPFIM,1,52241,129.26,3000,over_mining_buffer
liquor_11frequent,1000,TopKPFIM,2,51407,120.54,3000,over_mining_buffer
liquor_11frequent,1000,ITUFP,0,16695,114.42,2,stack_plus_imcup
liquor_11frequent,1000,ITUFP,1,16879,109.83,2,stack_plus_imcup
liquor_11frequent,1000,ITUFP,2,16873,110.25,2,stack_plus_imcup
