dataset,k,algorithm,rep,runtime_ms,peak_heap_mb,max_frontier_size,frontier_kind
mushrooms,30,V1_BFS_Full,0,16865,45.43,241,priority_queue
mushrooms,30,V1_BFS_Full,1,16664,45.76,241,priority_queue
mushrooms,30,V1_BFS_Full,2,16967,50.37,241,priority_queue
mushrooms,30,V2_DFS_Full,0,19077,51.17,186,stack
mushrooms,30,V2_DFS_Full,1,19542,48.42,186,stack
mushrooms,30,V2_DFS_Full,2,19598,49.83,186,stack
mushrooms,30,TopKPFIM,0,66138,66.72,90,over_mining_buffer
mushrooms,30,TopKPFIM,1,65887,70.58,90,over_mining_buffer
mushrooms,30,TopKPFIM,2,65929,62.61,90,over_mining_buffer
mushrooms,30,ITUFP,0,26511,40.00,4,stack_plus_imcup
mushrooms,30,ITUFP,1,26402,39.94,4,stack_plus_imcup
mushrooms,30,ITUFP,2,26253,39.99,4,stack_plus_imcup
mushrooms,40,V1_BFS_Full,0,17251,78.72,447,priority_queue
mushrooms,40,V1_BFS_Full,1,17236,71.92,447,priority_queue
mushrooms,40,V1_BFS_Full,2,17242,65.99,447,priority_queue
mushrooms,40,V2_DFS_Full,0,19481,78.04,307,stack
mushrooms,40,V2_DFS_Full,1,19444,74.51,307,stack
mushrooms,40,V2_DFS_Full,2,19446,76.00,307,stack
mushrooms,40,TopKPFIM,0,78061,75.62,120,over_mining_buffer
mushrooms,40,TopKPFIM,1,78083,73.90,120,over_mining_buffer
mushrooms,40,TopKPFIM,2,78027,81.98,120,over_mining_buffer
mushrooms,40,ITUFP,0,37209,40.34,4,stack_plus_imcup
mushrooms,40,ITUFP,1,37308,40.94,4,stack_plus_imcup
mushrooms,40,ITUFP,2,37159,40.00,4,stack_plus_imcup
mushrooms,50,V1_BFS_Full,0,21420,93.77,812,priority_queue
mushrooms,50,V1_BFS_Full,1,21665,90.13,812,priority_queue
mushrooms,50,V1_BFS_Full,2,21877,91.84,812,priority_queue
mushrooms,50,V2_DFS_Full,0,23081,107.41,548,stack
mushrooms,50,V2_DFS_Full,1,22715,113.11,548,stack
mushrooms,50,V2_DFS_Full,2,22732,113.95,548,stack
mushrooms,50,TopKPFIM,0,91646,87.07,150,over_mining_buffer
mushrooms,50,TopKPFIM,1,91031,86.29,150,over_mining_buffer
mushrooms,50,TopKPFIM,2,91430,89.81,150,over_mining_buffer
mushrooms,50,ITUFP,0,47226,54.38,4,stack_plus_imcup
mushrooms,50,ITUFP,1,47094,52.82,4,stack_plus_imcup
mushrooms,50,ITUFP,2,46960,50.38,4,stack_plus_imcup
mushrooms,60,V1_BFS_Full,0,25271,111.54,1316,priority_queue
mushrooms,60,V1_BFS_Full,1,25031,114.42,1316,priority_queue
mushrooms,60,V1_BFS_Full,2,25197,109.54,1316,priority_queue
mushrooms,60,V2_DFS_Full,0,26572,139.21,883,stack
mushrooms,60,V2_DFS_Full,1,26365,149.23,883,stack
mushrooms,60,V2_DFS_Full,2,26274,148.12,883,stack
mushrooms,60,TopKPFIM,0,103116,96.36,180,over_mining_buffer
mushrooms,60,TopKPFIM,1,103454,88.77,180,over_mining_buffer
mushrooms,60,TopKPFIM,2,103673,94.89,180,over_mining_buffer
mushrooms,60,ITUFP,0,56541,48.01,4,stack_plus_imcup
mushrooms,60,ITUFP,1,56648,48.04,4,stack_plus_imcup
mushrooms,60,ITUFP,2,56523,49.16,4,stack_plus_imcup
mushrooms,70,V1_BFS_Full,0,27521,135.89,1869,priority_queue
mushrooms,70,V1_BFS_Full,1,27647,133.51,1869,priority_queue
mushrooms,70,V1_BFS_Full,2,27671,126.37,1869,priority_queue
mushrooms,70,V2_DFS_Full,0,31627,193.67,1186,stack
mushrooms,70,V2_DFS_Full,1,31351,195.38,1186,stack
mushrooms,70,V2_DFS_Full,2,31528,193.19,1186,stack
mushrooms,70,TopKPFIM,0,114322,101.68,210,over_mining_buffer
mushrooms,70,TopKPFIM,1,114387,107.69,210,over_mining_buffer
mushrooms,70,TopKPFIM,2,114703,92.68,210,over_mining_buffer
mushrooms,70,ITUFP,0,64687,55.21,4,stack_plus_imcup
mushrooms,70,ITUFP,1,64931,48.53,4,stack_plus_imcup
mushrooms,70,ITUFP,2,64768,48.76,4,stack_plus_imcup
