dataset,k,algorithm,rep,runtime_ms,peak_heap_mb,max_frontier_size,frontier_kind
retail,500,V1_BFS_Full,0,26248,386.72,566,priority_queue
retail,500,V1_BFS_Full,1,26300,421.84,566,priority_queue
retail,500,V1_BFS_Full,2,26838,403.04,566,priority_queue
retail,500,V2_DFS_Full,0,27561,398.50,539,stack
retail,500,V2_DFS_Full,1,27551,408.43,539,stack
retail,500,V2_DFS_Full,2,27661,419.59,539,stack
retail,500,TopKPFIM,0,165588,294.21,1500,over_mining_buffer
retail,500,TopKPFIM,1,165302,253.61,1500,over_mining_buffer
retail,500,TopKPFIM,2,164324,243.76,1500,over_mining_buffer
retail,500,ITUFP,0,42894,235.91,3,stack_plus_imcup
retail,500,ITUFP,1,42159,239.19,3,stack_plus_imcup
retail,500,ITUFP,2,42630,237.72,3,stack_plus_imcup
retail,600,V1_BFS_Full,0,28406,571.50,664,priority_queue
retail,600,V1_BFS_Full,1,28148,493.21,664,priority_queue
retail,600,V1_BFS_Full,2,28116,499.95,664,priority_queue
retail,600,V2_DFS_Full,0,29485,586.51,631,stack
retail,600,V2_DFS_Full,1,29386,482.00,631,stack
retail,600,V2_DFS_Full,2,29260,479.38,631,stack
retail,600,TopKPFIM,0,174056,243.71,1800,over_mining_buffer
retail,600,TopKPFIM,1,173353,243.45,1800,over_mining_buffer
retail,600,TopKPFIM,2,173534,243.36,1800,over_mining_buffer
retail,600,ITUFP,0,45604,235.81,3,stack_plus_imcup
retail,600,ITUFP,1,46804,236.46,3,stack_plus_imcup
retail,600,ITUFP,2,45860,239.72,3,stack_plus_imcup
retail,700,V1_BFS_Full,0,29297,593.24,774,priority_queue
retail,700,V1_BFS_Full,1,29155,536.09,774,priority_queue
retail,700,V1_BFS_Full,2,29241,532.32,774,priority_queue
retail,700,V2_DFS_Full,0,30483,640.67,736,stack
retail,700,V2_DFS_Full,1,30787,606.96,736,stack
retail,700,V2_DFS_Full,2,30496,591.81,736,stack
retail,700,TopKPFIM,0,183248,255.80,2100,over_mining_buffer
retail,700,TopKPFIM,1,183006,243.94,2100,over_mining_buffer
retail,700,TopKPFIM,2,182383,243.01,2100,over_mining_buffer
retail,700,ITUFP,0,49803,236.31,3,stack_plus_imcup
retail,700,ITUFP,1,49297,239.22,3,stack_plus_imcup
retail,700,ITUFP,2,48989,239.27,3,stack_plus_imcup
retail,800,V1_BFS_Full,0,30422,927.79,920,priority_queue
retail,800,V1_BFS_Full,1,30425,721.15,920,priority_queue
retail,800,V1_BFS_Full,2,30263,748.00,920,priority_queue
retail,800,V2_DFS_Full,0,31847,785.23,868,stack
retail,800,V2_DFS_Full,1,31977,737.68,868,stack
retail,800,V2_DFS_Full,2,31858,751.56,868,stack
retail,800,TopKPFIM,0,192255,243.70,2400,over_mining_buffer
retail,800,TopKPFIM,1,193468,243.51,2400,over_mining_buffer
retail,800,TopKPFIM,2,191407,243.20,2400,over_mining_buffer
retail,800,ITUFP,0,52054,243.17,3,stack_plus_imcup
retail,800,ITUFP,1,52762,237.19,3,stack_plus_imcup
retail,800,ITUFP,2,52141,245.16,3,stack_plus_imcup
retail,900,V1_BFS_Full,0,31686,1015.79,1059,priority_queue
retail,900,V1_BFS_Full,1,31888,979.94,1059,priority_queue
retail,900,V1_BFS_Full,2,32065,1006.50,1059,priority_queue
retail,900,V2_DFS_Full,0,33384,982.81,996,stack
retail,900,V2_DFS_Full,1,33358,962.93,996,stack
retail,900,V2_DFS_Full,2,33372,1014.58,996,stack
retail,900,TopKPFIM,0,200921,242.47,2700,over_mining_buffer
retail,900,TopKPFIM,1,200256,243.46,2700,over_mining_buffer
retail,900,TopKPFIM,2,199603,243.49,2700,over_mining_buffer
retail,900,ITUFP,0,55981,251.18,3,stack_plus_imcup
retail,900,ITUFP,1,56185,238.06,3,stack_plus_imcup
retail,900,ITUFP,2,57146,236.98,3,stack_plus_imcup
